agentX,agentY,eDist,gridSize
5,5,3.0761303717494863,10
5,6,5.228453602218335,10
4,6,6.311068107459868,10
4,5,5.3428125609295885,10
5,5,4.116310133237167,10
6,5,3.77555223831291,10
6,6,4.166784631331163,10
6,7,5.6752737992164315,10
5,7,6.279432431985075,10
5,8,6.638596503572284,10
5,9,7.3236826907276305,10
4,9,7.316712250794925,10
4,0,5.55145706211642,10
4,9,9.089994531307486,10
5,9,7.73878556623987,10
5,8,7.332925399905338,10
6,8,6.107063280868557,10
6,9,7.317227232517036,10
6,0,2.3241922543499003,10
5,0,4.149853949476846,10
5,9,8.408854617883325,10
5,0,2.478473391208253,10
4,0,4.109176513884603,10
3,0,4.939716982592219,10
2,0,7.191054036840298,10
2,1,4.927365447862699,10
3,1,4.023300511711334,10
3,2,5.980475911074753,10
2,2,5.373302558970154,10
2,3,5.530807620720973,10
1,3,7.143643457087928,10
1,2,7.33853972699488,10
0,2,7.946925836055067,10
0,1,7.4691034274551935,10
0,0,8.404774332517736,10
0,1,8.071290114050957,10
0,2,8.408692587791698,10
9,2,1.4908034755492159,10
9,1,0.18675469558195057,10
8,1,1.2440621507782024,10
8,0,3.356405041003289,10
8,1,0.6328570587236049,10
7,1,1.8012624529026113,10
7,0,1.4997192490582607,10
6,0,1.7839687716939296,10
5,0,4.208867356441776,10
5,9,7.688354432462519,10
5,8,6.727059689048085,10
5,9,7.229889222669916,10
5,8,5.9085697997034154,10
5,9,8.866822057172019,10
4,9,7.810988848185899,10
4,8,7.160420240444896,10
5,8,6.710842328491102,10
6,8,5.188121183162784,10
6,7,4.627657469249595,10
7,7,4.933093735554046,10
8,7,4.699882376658899,10
8,8,6.088285200765849,10
9,8,6.097571815657814,10
0,8,10.211578650627379,10
0,7,8.932371680239912,10
9,7,4.816542780297171,10
9,6,3.3324499156648786,10
0,6,10.001719202281317,10
0,7,9.896241571067662,10
0,8,8.972922650298258,10
0,9,11.994621791722743,10
1,9,9.740353023735212,10
2,9,8.266833191660693,10
2,0,6.920953790843434,10
3,0,5.891626887034641,10
3,1,5.963194571192156,10
3,0,6.020015224522431,10
3,9,7.790822513281951,10
3,0,5.280321362217745,10
3,9,7.597268493533036,10
2,9,9.291467211163964,10
2,8,8.983318477638,10
1,8,9.505995414534627,10
1,7,9.122076136151756,10
2,7,7.5181690650074255,10
2,6,6.800016303139182,10
3,6,6.911913334806177,10
2,6,8.743538511403763,10
2,5,6.598064230738881,10
1,5,7.402552407785183,10
2,5,5.943042865914979,10
3,5,6.560076327951115,10
3,6,6.250112401939544,10
3,7,7.0651353696707355,10
4,7,6.040992231828067,10
4,8,7.713144009389297,10
5,8,5.6352446683840665,10
6,8,6.411387623905227,10
7,8,6.715669773405544,10
7,7,5.299719156118162,10
7,8,4.959495889174766,10
7,7,5.014885391117066,10
7,8,7.40961163013428,10
8,8,5.722789109439566,10
